Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
G32A	0.0148320881827439	0	0.0056581655590381	0	0.0307767133685282	0.10607399456693	0.0390285550964506	0	0	0	0.0958597749670618	0	0.0734343719975446	0.0299025697434043	0	0.0493774481544732	0.00170051764982566	0.0213631889380616	0	0.0629535322526804	0.0249558359772868	0.44408324354597	0	0.64682958869433	0.764213934084136
G33A	0.0466180644363804	0	0	0.00302683545365044	0	0.201507386196567	0.00772157515755844	0	0.0354239108791853	0.00781584809739459	0.0587331001743208	0	0.111576474984979	0.000356851962790496	0.0410691605586397	0.236004059905687	0.0110719154154404	0	0.0683926553371136	0.0218095199935765	0	0.148872641446717	0.004	0.320755936699549	0.954300717411619
G34A	0.0444279393882214	0.0307881911555331	0	0.0755426142494884	0	0.298837581745841	0.0400200805972096	0	0.0664787078680499	0	0.0570262265978316	0	0.0420118479391543	0.050898499638814	0.0633364079435224	0.10686438293697	0.00264553953762267	0.0036374374995374	0.089527201384224	0	0	0.0279573415179808	0	0.589587754151716	0.821177359640612
G35A	0.0257034921237842	0	0	0.0545232395897384	0	0.161726953275915	0.0329416340802904	0	0.0047190633838773	0	0.0474587159894881	0	0.109542141058597	0.0358865032793807	0.00635465571435538	0.145706048608358	0	0.0283414565218647	0.0376472854822429	0.0896378236600708	0	0.219810987232037	0	0.71005608326981	0.736346489997781
G36A	0.0114273796094241	0.0139671303617168	0	0.00606912154074499	0	0.217827823864375	0.0430929210677412	0	0.0788748797632277	0	0.0774942438535875	0	0.110745228960748	0.114786033200035	0.0311088262925183	0.16527608097702	0	0.0388184319716142	0.0553148031397226	0	0.00307808120337559	0.0321190141941501	0	0.575402508899766	0.832973072025051
G40A	0.0349147077266398	0	0	0.0198661018268741	0.00338248237235552	0.0210099363886668	0.0339058817609387	0.00571352002852926	0.0281035234455927	0	0.0880633177116223	0	0.0524798325125191	0.084565594644796	0.00494642078335977	0.0256118762797278	0	0.00277179518178682	0	0.0620157600801586	0.00258504453365301	0.53006420472278	0	0.821694820158208	0.575910955297922
G41A	0.0169129091530172	0	0.00398862629870813	0.01137720799291	0	0.152387846184367	0.0442653235727778	0	0.0575037747740585	0	0.0305364922272943	0.0234654698256436	0.0864510631425953	0.156278708478295	0.022917690786877	0.0986537138528675	0	0.0234056855249883	0.0342149786962929	0.0142272918918265	0	0.223413217597481	0	0.758040945288992	0.700662284099726
G42A	0.0706777447881646	0	0	0	0.00327174708753948	0.0178114945790643	0.0112362399941388	0	0.0139926101135756	0.0121043521360171	0.0656102998132305	0	0.183530073282621	0.0974747426653626	0.00134107539823864	0	0	0	0.00352134295965837	0.0158354560489418	0.0250406054822998	0.478552215651148	0	0.71003020452275	0.70761249140738
G45A	0.0190353661952665	0	0	0	0	0.100329436024426	0.0268157057333895	0	0.0130908311094289	0	0.0650409123947229	0	0.0365205893361166	0.0667538832920326	0.016375655305487	0.157218449656452	0	0	0.0786573279950571	0.0176518927461332	0	0.402509950211487	0	0.780407701348638	0.643777025293738
G46A	0.0301699018943719	0.0234022210199129	0	0.048206370385946	0	0.110568258392413	0.0179454100953452	0	0.0386094787483675	0	0.0593499764511106	0	0.0172898897466573	0.0421367543871706	0.0101231067929991	0.270432338144576	0	0.00393496486433273	0.0988298347474552	0.0213146757689346	0	0.207686818560407	0	0.709665234235225	0.743709577161334
G47A	0.0155231427431555	0	0	0.00365410085338363	0	0.0142849013124853	0.0303902326020392	0.00475885403133561	0.00713522495193585	0	0.0108705056285806	0	0	0.0582440027849035	0	0.0433368422430133	0	0.00418612375733617	0.0766983632548734	0	0.00725534040041464	0.723662365436543	0	0.895943748004564	0.456200025639992
G48A	0.0470761278980556	0.0128882289633489	0	0.0877559521106924	0	0.204088351264531	0.0784626615996302	0	0.0673159478867647	0	0.104630466079764	0	0.0172345835009827	0.0943473103261732	0.0170082999715101	0.107830687359138	0	0	0.0280071141729329	0.0698115851329123	0	0.0635426837335648	0	0.662939970078219	0.778538963495448
G50A	0.014232490009588	0.010208921993439	0	0.0588664892333456	0	0.126055163627583	0.0584349127007168	0	0.0143926030515007	0	0.0498907271933885	0	0.0879334296344294	0.0134965561497697	0.00745865758710708	0.203398556665256	0	0.000907022649902966	0.0267737689366268	0.126006736164658	0	0.201943964402688	0	0.606175405618082	0.803202447234193
L01A	0.0181376669118085	0.0113174413197401	0.00143895709222134	0.0312571960486495	0	0.269598552093661	0.0262162331207115	0	0.0364989267340775	0	0.0591130948872565	0	0.0335218170234887	0.00242263006278868	0.00258408379893599	0.217007640083441	0.00311131425063623	0.0101639764270625	0.0845569034258804	0	0	0.193053566719641	0	0.630139422648101	0.793452799865702
L02A	0.0353902480992884	0.00553121707394895	0.0240502315723842	0.0711246440009109	0	0.214573820685586	0.0662721432921862	0.00775585037633585	0.0311439734679549	0.00494542082497977	0.0497207147431094	0	0.029696018668208	0.0688695562920279	0.0243485920533685	0.170394715262555	0.0452658292474144	0.0157489997959317	0.080465902538824	0.0254714934867725	0.0106196867023378	0.0186109418158761	0	0.592812862413729	0.828536102893278
L03A	0.15250266331514	0.047907867241897	0	0.132367213654559	0	0.18089406078842	0.0647493438758539	0.02917539432889	0.0788736589395511	0	0.0478368762530466	0	0	0.0477850636953203	0.0580105375970628	0.123996703909731	0	0	0.02947049642978	0	0	0.00643011997074814	0	0.75863935630137	0.720240594469136
L04A	0.0153270172242723	0.011821892596017	0.013900008848308	0.0845540931926831	0	0.179240334381537	0.0181225602531941	0.0123602272701056	0.0955969285233775	0	0.00380489949745549	0.048514707562401	0.0430773403516105	0.0853281535602568	0.0688225408145418	0.210046605997382	0.0327374225819569	0.0076745700030173	0.0527625438533153	0	0.00874313097348477	0.00756502251508321	0.01	0.262959862917574	0.977690430189848
